ticker,date,headline,source,source_tier,url,summary,expected_sentiment
GOOG,2025-11-06,DOJ Clears Alphabet's $32 Billion Wiz Acquisition After Antitrust Review,Multiple Sources,high,https://phemex.com/academy/alphabet-googl-stock-2026,"DOJ cleared the antitrust review of Alphabet's $32B all-cash acquisition of Wiz, the cloud security startup. Largest acquisition in Alphabet history. Deal expected to close in 2026. Wiz brings agentless multicloud security capabilities to complement Google Cloud.",positive
GOOG,2025-11-06,Alphabet Completes Concurrent Bond Offerings of Dollar and Euro Senior Notes,SEC Filing (8-K),official,https://www.sec.gov/Archives/edgar/data/0001652044/000165204425000087/googexhibit991q32025.htm,Alphabet completed concurrent underwritten public offerings of USD and EUR denominated senior notes. Multiple maturities from 2029 to 2054. Indicates strong balance sheet management and access to capital markets.,neutral
NVDA,2025-11-19,"NVIDIA Reports Record Q3 Revenue of $57.0 Billion, Up 62% Year-Over-Year",NVIDIA Newsroom (Press Release),official,https://nvidianews.nvidia.com/news/nvidia-announces-financial-results-for-third-quarter-fiscal-2026,"Record Q3 FY2026 revenue of $57.0B, up 22% QoQ and 62% YoY. Data center revenue hit record $51.2B, up 66% YoY. CEO Jensen Huang: Blackwell sales off the charts, cloud GPUs sold out. GAAP EPS $1.30 beat expectations. Returned $37.0B to shareholders in first 9 months.",strongly positive
NVDA,2025-11-19,NVIDIA Q3 Earnings Beat But Stock Begins Correction From October Highs,24/7 Wall St,mid,https://247wallst.com/forecasts/2025/12/30/nvidia-nvda-price-prediction-and-forecast/,"Despite record earnings beating top and bottom lines, NVDA stock begins post-ATH correction. Stock had run up significantly into earnings. Some profit-taking despite strong results.",mixed
TSLA,2025-12-04,Tesla at a Crossroads: Sales Slump in Europe Meets Regulatory Headwinds,Carbon Credits,low,https://carboncredits.com/tesla-at-a-crossroads-sales-slump-meets-regulatory-headwinds-but-stock-rises-why/,"European registrations dropped 58% in France, 49% in Denmark. But Q3 global deliveries up 7.4% and revenue up 12%. US inventory of ~10,799 vehicles signals potential oversupply. Stock up despite sales headwinds.",mixed-negative
TSLA,2025-12-09,"Tesla China Retail Sales Slip, Facing Impossible Task to Avoid First Annual Decline",Electrek,mid,https://electrek.co/2025/12/09/tesla-china-retail-sales-slip-november-first-annual-decline/,"73,145 retail sales in China in November, slight YoY decline from 73,490. YTD at 531,855, needing 125,000+ in December to avoid annual decline. Best month ever was 82,927. Competitors BYD up record growth, Xiaomi up 175%, Xpeng up 70%.",negative
GOOG,2025-12-10,"Waymo Surpasses 14 Million Total Trips, Over 1 Million Monthly Rides",Asia Business Outlook,low,https://www.asiabusinessoutlook.com/news/waymo-tests-google-gemini-ai-as-incar-assistant-in-robotaxis-nwid-10961.html,"Waymo reached 14 million total trips by December 10. Fleet of roughly 2,500 vehicles. Ambition to reach 1 million weekly rides by end of 2026. Expanding internationally including Tokyo and London plans.",positive
TSLA,2025-12-12,"Tesla US Sales Drop to Under 40,000 Units, Lowest Since January 2022",Electrek,mid,https://electrek.co/2025/12/12/tesla-us-sales-drop-to-under-40000-units-following-tax-credit-expiration-lowest-in-years/,"~39,800 vehicles sold in US in November, 23% drop YoY. Lowest monthly volume since Jan 2022. Driven by federal EV tax credit expiration. However, Tesla market share actually increased to 56.7% as overall EV market fell 41%.",mixed-negative
TSLA,2025-12-17,Tesla's 2025 Was a Turning Point: Autonomy and Robotics Over Deliveries,The Motley Fool,mid,https://www.fool.com/investing/2025/12/17/teslas-2025-was-a-turning-point-here-are-3-things/,Tesla repositioned from automaker to AI platform company. Stock reacted more to FSD/autonomy milestones than delivery numbers. Launched limited geofenced robotaxi pilot in Austin with safety monitors. Optimus robot showed improvements but far from mass production.,mixed-positive
NVDA,2025-12-19,"NVDA Analysts Project Significant Upside: Goldman $250, BofA $275, Cantor $300",Yahoo Finance,mid,https://finance.yahoo.com/news/nvda-stock-price-prediction-where-070852948.html,"Goldman Sachs and Morgan Stanley both target $250, Bank of America and Wedbush $275, Cantor Fitzgerald holds street-high $300. Projected 2026 revenue around $323B with $500B order backlog for Blackwell and Rubin chips.",positive
GOOG,2025-12-23,Waymo Testing Gemini AI Integration as In-Car Assistant in Robotaxis,TechCrunch,high,https://techcrunch.com/2025/12/24/waymo-is-testing-gemini-as-an-in-car-ai-assistant-in-its-robotaxis/,"Researcher discovered 1,200+ line system prompt for unreleased Gemini integration in Waymo vehicles. Assistant can answer questions, manage climate control, and reassure riders. Waymo handling 450,000+ paid rides per week across six US cities.",positive
TSLA,2025-12-24,"Tesla European Sales Plunge to Three-Year Low, Stock Defies Fundamentals",24/7 Wall St,mid,https://247wallst.com/investing/2025/12/24/teslas-european-sales-plunge/,"EU/UK/EFTA registrations down 34.2% to 12,130 in November. YTD down 38.8%. Stock still up 20% YTD to ~$485 despite declining car sales. Market pricing in AI/self-driving/robotics narrative over auto fundamentals.",negative
TSLA,2025-12-24,"Tesla: Prudent Buy on Pullbacks, Energy Segment Now Primary Profit Engine",Seeking Alpha,mid,https://seekingalpha.com/article/4855602-tesla-the-race-between-megablock-scaling-and-automotive-margin-compression,"Energy segment driven by Megablock and AI data center demand becoming primary profit engine. $1.63T valuation justified by autonomy, energy, AI optionality. Watch auto gross margin >17%, energy deployment >12 GWh/quarter, FSD take rate >12%.",mixed-positive
GOOG,2025-12-25,"Gemini 3 Model Launches, Alphabet Reports Dramatically Higher Engagement",Multiple,mid,https://phemex.com/academy/alphabet-googl-stock-2026,"Gemini 3 model launched in December 2025. Management reported dramatically higher engagement. Serving unit costs dropped 78% over 2025 through model optimizations. Gemini app surpassed 750 million monthly active users, up from 400 million nine months earlier.",positive
TSLA,2025-12-26,Tesla Hit With Stunning Setback in China: First Annual Decline Looming,Yahoo Finance,mid,https://finance.yahoo.com/news/tesla-hit-stunning-setback-key-232000384.html,"November retail sales dropped YoY. Would need 125,000+ December deliveries to avoid first annual decline. Best month ever was 82,927 - making target mathematically near-impossible. Aging lineup with zero sign of next-gen models.",strongly negative
TSLA,2025-12-29,Tesla: The Big Short of 2026 - Trading at 317x Earnings on Robotaxi Euphoria,Seeking Alpha,mid,https://seekingalpha.com/article/4856211-tesla-its-not-time-for-bears-to-give-up-the-big-short-of-2026-downgrade,Bearish analysis: TSLA trading at 17.5x trailing sales and 317x earnings. Revenue expected to decelerate as Q3 tax credit sugar rush fades. Profitable regulatory credit income set to dry up as fuel economy fines eliminated.,strongly negative
NVDA,2025-12-30,"NVDA Down 9.42% From October ATH Despite Record Earnings, 60/64 Analysts Say Buy",24/7 Wall St,mid,https://247wallst.com/forecasts/2025/12/30/nvidia-nvda-price-prediction-and-forecast/,"NVDA gained 2.71% over past 5 sessions but correction from Oct 29 ATH continues. Stock up 35.86% YTD. 60 of 64 analysts recommend buying, consensus target $253.19 suggesting 34% upside.",mixed-positive
TSLA,2025-12-30,"Tesla Publishes Q4 2025 Delivery Consensus: 422,850 Vehicles, Full Year Down 8.3%",Teslarati,mid,https://www.teslarati.com/tesla-officially-publishes-q4-2025-delivery-consensus/,"Analyst consensus of 422,850 Q4 deliveries. Full-year 2025 consensus at 1,640,752 vehicles, 8.3% decline from 2024. Unusual transparency move to establish benchmark ahead of results.",mixed-negative
NVDA,2025-12-31,"NVIDIA Soars 39% in 2025, Outperforming Semiconductor Industry",Zacks / Yahoo Finance,mid,https://finance.yahoo.com/news/nvidia-soars-39-2025-stock-123200959.html,"NVDA gained 38.8% in 2025, outperforming semiconductor industry rise of 35.9%. Data center segment generated $51.22B in Q3, representing 89.8% of total sales. Forward P/E of 26.80x vs industry average 28.97x.",positive
